category,experiment,structural_change,val_mae_months,val_rmse_months,bias_months,key_observation,decision
Core Model,Core Sex-specific LDL,ConvNeXt V1-Tiny + sex embedding + shared fusion + separate Male/Female 240-bin LDL heads,5.842,8.118,-0.017,Strong and stable single-model baseline; used as the reference architecture for later ablations.,Core architecture
Sex Conditioning,Stage-wise Sex-FiLM,Added zero-initialized sex-conditioned FiLM blocks to ConvNeXt stages 1-4 while preserving the sex-specific LDL heads,5.983,8.415,-0.27,Early sex conditioning was learned but overall generalization degraded.,Rejected
Ordinal Regularization,CDF/Wasserstein Regularization (lambda=0.02),Added 1D CDF/Wasserstein-1 ordinal loss to the core LDL objective,5.848,8.228,0.023,"CDF objective continued to decrease after validation MAE stopped improving, indicating an objective trade-off.",Rejected
Ordinal Regularization,Weak CDF/Wasserstein Regularization (lambda=0.005),Reduced the CDF/Wasserstein regularization weight from 0.02 to 0.005,5.807,8.09,-0.033,Weak ordinal regularization produced a small but consistent improvement over the core model.,"Useful ablation, not final"
Attention,Continuous Spatial Attention Prior,Added Stage-3 learned spatial attention with a continuous young-to-wrist / older-to-finger pairwise centroid prior,5.818,8.091,,"The spatial ordering signal was learned easily, but the gain in bone-age prediction was small.",Not selected
Attention + Ordinal,Weak CDF + Spatial Attention,Combined weak CDF regularization with the continuous spatial attention prior,5.807,8.078,,"RMSE improved slightly, but the attention gain was not additive in MAE.",Not selected
Local ROI,Upper Local ROI Expert,Trained a local-only expert using an automatically generated upper-hand ROI discovered from CAM/localization analysis,6.581,8.96,-0.402,"Local-only accuracy was weaker than whole-hand input, but the upper ROI provided complementary error signals on hard cases.",Used only as auxiliary experiment
Feature Fusion,Whole-hand + Upper ROI Residual Fusion,Frozen whole-hand and upper-ROI experts; concatenated shared features and learned a zero-initialized residual sex-specific LDL correction head,5.788,8.066,0.039,"Best single-model validation MAE among the structural fusion experiments, but the improvement was small relative to added inference complexity.",Not final
Feature Fusion,Relation-gated Local Fusion,"Combined whole-hand, middle-ROI and upper-ROI features using relation features, a sample-wise sigmoid gate and residual logits",5.841,8.116,,The learned gate collapsed to an almost constant value and failed to improve the core model.,Rejected
Ensemble,Two-model Fixed Ensemble,Averaged predictions from the core LDL model and a complementary multi-window model,5.789,8.058,,"Good RMSE and validation MAE, but required two complete inference models.",Not selected for deployment
Calibration,Continuous Sex-Age Bias Regularization,Warm-started from the core model and regularized local signed-error bias across continuous sex-by-age Gaussian windows,5.835,8.107,,Reduced local bias modestly but produced only a very small aggregate validation gain.,Not selected
Targeted Fine-tuning,Young-Male Bias Refinement,Froze the shared representation and Female head; fine-tuned only the Male LDL head with young-male bias penalty and older-male teacher consistency,5.825,8.105,,Reduced Male <=60-month MAE to 5.880 and bias to +3.528 months while preserving the Female branch.,Final selected model
Input Resolution,768x512 Resolution Ablation,Increased the model input resolution from 512x512 to 768x512 while keeping the core modeling direction,5.989,8.421,,Higher input resolution did not improve validation performance.,Rejected; retained 512x512
